Title,Genre,Year,Rating,BoxOffice
movie1,horror,2016,4.8,11344
movie2,animation,2010,2.5,174456
movie3,horror,2004,1.2,36104
movie4,action,1997,3.2,139677
movie5,comedy,1992,1.9,145261
movie6,horror,1993,3.9,188366
movie7,romance,1992,3.9,72578
movie8,horror,2011,3.5,126401
movie9,action,1999,2.7,52802
movie10,action,2014,2.8,191652
movie11,sci-fi,1996,4.1,183675
movie12,comedy,2023,3.1,82035
movie13,drama,1992,1.7,67337
movie14,thriller,1995,4.2,149008
movie15,sci-fi,2021,2.8,159835
movie16,animation,2013,3.9,150608
movie17,drama,2005,1.3,63608
movie18,animation,2023,4.3,20035
movie19,comedy,2016,2.6,18062
movie20,romance,1991,3.7,193401
movie21,horror,2024,4.9,8952
movie22,horror,1997,4.5,72303
movie23,drama,1998,3.0,147901
movie24,animation,2015,2.4,197596
movie25,animation,2016,4.0,197228
movie26,animation,2016,2.5,112649
movie27,thriller,2011,3.3,179365
movie28,drama,2003,3.3,157101
movie29,drama,1993,4.9,99646
movie30,sci-fi,1994,1.9,168618
movie31,action,2011,4.2,81242
movie32,thriller,1994,1.8,123660
movie33,sci-fi,1996,1.6,174509
movie34,romance,2010,4.6,138162
movie35,sci-fi,1996,2.5,149507
movie36,comedy,1997,3.6,43466
movie37,action,2013,3.9,50448
movie38,thriller,2014,3.4,57293
movie39,romance,1993,2.6,53844
movie40,comedy,2007,2.7,166691
movie41,action,1992,2.7,109279
movie42,sci-fi,2008,1.3,100532
movie43,animation,1999,4.2,199480
movie44,animation,2015,1.9,114999
movie45,romance,2006,2.1,178977
movie46,sci-fi,2006,1.1,28517
movie47,horror,1999,2.0,137574
movie48,sci-fi,2000,2.8,117891
movie49,romance,2016,3.9,88192
movie50,thriller,1999,2.6,162576
movie51,action,1992,1.5,71985
movie52,comedy,2019,1.6,195073
movie53,drama,2006,2.1,100828
movie54,drama,1998,2.2,104279
movie55,horror,2008,3.4,77247
movie56,romance,2013,3.1,22536
movie57,thriller,2002,2.6,60516
movie58,horror,2004,4.8,89502
movie59,thriller,2006,4.7,104083
movie60,horror,1994,4.4,199226
movie61,romance,2000,4.8,11842
movie62,romance,2021,4.1,190621
movie63,romance,1996,1.6,99387
movie64,sci-fi,2000,4.1,134626
movie65,sci-fi,2020,1.7,190415
movie66,animation,1995,1.5,182779
movie67,animation,2016,1.6,110611
movie68,romance,1999,4.0,30835
movie69,thriller,2014,4.9,74306
movie70,comedy,2011,1.8,177765
movie71,comedy,1995,4.1,24303
movie72,thriller,2012,4.4,130474
movie73,horror,1991,4.9,143984
movie74,comedy,2001,2.6,7437
movie75,action,2016,3.2,108301
movie76,horror,2014,4.5,86246
